,ids,texts,user_ids,user_screen_name,in_reply_to_user_ids,in_reply_to_screen_names,user_mentionses,created_ats
0,1.37751E+18,RT @danskuuy: Kurang lebih sudah 250 ribu warga Indonesia yg sudah di vaksin berkat adanya program sentra vaksinasi bersama BUMN. Program i…,1162115906,Angelina_Joelia,,,"[{'screen_name': 'danskuuy', 'name': 'ᴀɴᴀᴋ ꜱɪɴɢᴋᴏɴɢ', 'id': 1001076209818550272, 'id_str': '1001076209818550272', 'indices': [3, 12]}]",4/1/2021 6:26
1,1.37751E+18,RT @danskuuy: Kurang lebih sudah 250 Ribu masyarakat telah di vaksinasi setelah adanya program sentra vaksinasi BUMN ini. Semakin banyak yg…,1162115906,Angelina_Joelia,,,"[{'screen_name': 'danskuuy', 'name': 'ᴀɴᴀᴋ ꜱɪɴɢᴋᴏɴɢ', 'id': 1001076209818550272, 'id_str': '1001076209818550272', 'indices': [3, 12]}]",4/1/2021 6:22
2,1.3775E+18,"RT @Satria180806: ""Vaksin Merah Putih ini adalah upaya awal kita untuk suatu saat apabila Indonesia menghadapi pandemi di kemudian hari kit…",384176072,Vendra_Deje,,,"[{'screen_name': 'Satria180806', 'name': 'SatriaArjuna #SahabatNKRI💯', 'id': 1270026294063968256, 'id_str': '1270026294063968256', 'indices': [3, 16]}]",4/1/2021 6:12
3,1.3775E+18,"RT @lps_idic: Bila sudah vaksin Covid-19, apakah kita jadi kebal akan virus tersebut? Tentu tidak, Sahabat LPS harus tetap waspada. Menurut…",1.07381E+18,LiiaMonday,,,"[{'screen_name': 'lps_idic', 'name': 'LPS RI / IDIC', 'id': 274895088, 'id_str': '274895088', 'indices': [3, 12]}]",4/1/2021 5:54
4,1.3775E+18,"RT @lps_idic: Bila sudah vaksin Covid-19, apakah kita jadi kebal akan virus tersebut? Tentu tidak, Sahabat LPS harus tetap waspada. Menurut…",2322360512,yenarsyah,,,"[{'screen_name': 'lps_idic', 'name': 'LPS RI / IDIC', 'id': 274895088, 'id_str': '274895088', 'indices': [3, 12]}]",4/1/2021 5:51
5,1.3775E+18,"Bila sudah vaksin Covid-19, apakah kita jadi kebal akan virus tersebut? Tentu tidak, Sahabat LPS harus tetap waspad… https://t.co/FSXhNgDKBm",274895088,lps_idic,,,[],4/1/2021 5:46
6,1.3775E+18,"RT @kompascom: Menurut Bambang, Biofarma telah memperoleh 53,5 juta bulk vaksin Covid-19. Dari jumlah itu, nantinya dapat diproduksi 42 jut…",1527119364,Lancrunistuning,,,"[{'screen_name': 'kompascom', 'name': 'Kompas.com', 'id': 23343960, 'id_str': '23343960', 'indices': [3, 13]}]",4/1/2021 5:44
7,1.3775E+18,"RT @biofarmaID: Sebanyak 20,5 juta dosis vaksin Covid-19 sudah didistribusikan ke seluruh Indonesia. Vaksin tersebut berasal dari vaksin pr…",111284211,zam_09,,,"[{'screen_name': 'biofarmaID', 'name': 'Bio Farma', 'id': 1930235365, 'id_str': '1930235365', 'indices': [3, 14]}]",4/1/2021 5:43
8,1.3775E+18,Di @rumahsakit_ui ngobrol sama lansia yg udh selesai vaksin covid ke 2. Mereka seneng &amp; doa mereka semoga vaksin in… https://t.co/Dubu5m4sMA,61955941,rizkyomm,,,"[{'screen_name': 'rumahsakit_ui', 'name': 'Rumah Sakit UI', 'id': 933600852702519296, 'id_str': '933600852702519296', 'indices': [3, 17]}]",4/1/2021 5:40
9,1.3775E+18,"RT @Satria180806: ""Vaksin Merah Putih ini adalah upaya awal kita untuk suatu saat apabila Indonesia menghadapi pandemi di kemudian hari kit…",9.75389E+17,thewindNcloud,,,"[{'screen_name': 'Satria180806', 'name': 'SatriaArjuna #SahabatNKRI💯', 'id': 1270026294063968256, 'id_str': '1270026294063968256', 'indices': [3, 16]}]",4/1/2021 5:40
